estimator,snr_db,trial_count,pulse_count,requested_pulse_count,off_grid,total_trials,total_true_pulses,total_estimated_pulses,total_missed_count,total_extra_count,detection_rate,detection_rate_ci_low,detection_rate_ci_high,missed_detection_rate,missed_detection_rate_ci_low,missed_detection_rate_ci_high,false_detections_per_trial,false_detections_per_100_pulses,search_window_samples,resolution_cells_per_trial,false_detection_rate_per_resolution_cell,false_detection_rate_ci_low,false_detection_rate_ci_high,mean_rms_error,mean_rms_error_samples,sigma_crlb_samples,efficiency,max_rms_error,mean_bias_error,mean_bias_error_s,mean_bias_error_samples,p95_abs_error,p95_abs_error_s,p95_abs_error_samples,mean_missed_count,mean_extra_count,max_missed_count,max_extra_count
matched_filter,30.0,200,100,100,True,200,20000,20000,0,0,1.0,0.9998079639438954,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,20200,202,0.0,0.0,9.507657395916952e-05,2.789969521818781e-05,0.2789969521818781,0.006709064220319525,41.58507699730897,4.999098043814477e-05,-9.039840738060504e-07,-9.039840738060504e-07,-0.009039840738060504,4.7592726195122544e-05,4.7592726195122544e-05,0.4759272619512254,0.0,0.0,0,0
matched_filter,25.0,200,100,100,True,200,20000,20000,0,0,1.0,0.9998079639438954,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,20200,202,0.0,0.0,9.507657395916952e-05,2.8497115872007114e-05,0.2849711587200711,0.012122271932952322,23.508065179219898,4.99978433691129e-05,-2.088728431175492e-06,-2.088728431175492e-06,-0.02088728431175492,4.7626311807603264e-05,4.7626311807603264e-05,0.4762631180760326,0.0,0.0,0,0
matched_filter,20.0,200,100,100,True,200,20000,20000,0,0,1.0,0.9998079639438954,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,20200,202,0.0,0.0,9.507657395916952e-05,2.8348766785057816e-05,0.28348766785057816,0.020865904943655988,13.586166936736138,5.0004705358169914e-05,-2.344911430721129e-06,-2.344911430721129e-06,-0.02344911430721129,4.77594737979814e-05,4.77594737979814e-05,0.477594737979814,0.0,0.0,0,0
matched_filter,15.0,200,100,100,True,200,20000,20000,0,0,1.0,0.9998079639438954,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,20200,202,0.0,0.0,9.507657395916952e-05,2.8624251402696728e-05,0.28624251402696727,0.03760687944124397,7.611440201364894,5.000927949445175e-05,-2.4288303671366502e-06,-2.4288303671366502e-06,-0.0242883036713665,4.9032353196976075e-05,4.9032353196976075e-05,0.49032353196976075,0.0,0.0,0,0
matched_filter,10.0,200,100,100,True,200,20000,20000,0,0,1.0,0.9998079639438954,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,20200,202,0.0,0.0,9.507657395916952e-05,3.0227953414451318e-05,0.30227953414451314,0.06754971088719162,4.474919732066975,4.99983888954291e-05,-2.1602753393248874e-06,-2.1602753393248874e-06,-0.021602753393248873,5.195562984561253e-05,5.195562984561253e-05,0.5195562984561253,0.0,0.0,0,0
matched_filter,8.0,200,100,100,True,200,20000,20003,0,3,1.0,0.9998079639438954,1.0,0.0,0.0,0.00019203605610462553,0.015,0.015,20200,202,7.425742574257426e-05,2.5254540022274754e-05,0.00021832276513878202,3.0429625372810184e-05,0.3042962537281018,0.08502141618873825,3.5790541650423395,5.000223794985407e-05,-1.882782996797977e-06,-1.882782996797977e-06,-0.01882782996797977,5.380595096338148e-05,5.380595096338148e-05,0.5380595096338148,0.0,0.015,0,1
matched_filter,7.5,200,100,100,True,200,20000,20007,0,7,1.0,0.9998079639438954,1.0,0.0,0.0,0.00019203605610462553,0.035,0.035,20200,202,0.00017326732673267326,8.393472032465512e-05,0.0003576435597722513,3.0181914060657888e-05,0.3018191406065789,0.08888207653208713,3.3957255768841064,5.000223794985407e-05,-1.4882883518250073e-06,-1.4882883518250073e-06,-0.014882883518250073,5.380595096338148e-05,5.380595096338148e-05,0.5380595096338148,0.0,0.035,0,1
matched_filter,7.0,200,100,100,True,200,20000,20012,0,12,1.0,0.9998079639438954,1.0,0.0,0.0,0.00019203605610462553,0.06,0.06,20200,202,0.000297029702970297,0.00016992765717434004,0.0005191518415923785,3.0763751880006033e-05,0.3076375188000603,0.09359316616823189,3.286965612928276,5.000223794985407e-05,-8.867264414691657e-07,-8.867264414691657e-07,-0.008867264414691657,5.444891625306924e-05,5.444891625306924e-05,0.5444891625306925,0.0,0.06,0,2
matched_filter,6.5,200,100,100,True,200,20000,20031,0,31,1.0,0.9998079639438954,1.0,0.0,0.0,0.00019203605610462553,0.155,0.155,20200,202,0.0007673267326732674,0.0005406538251972938,0.0010889303045147109,3.107589908884883e-05,0.3107589908884883,0.09981680460126487,3.1132933189944088,5.000223794985407e-05,-6.028158835877545e-07,-6.028158835877545e-07,-0.006028158835877544,5.491465785034677e-05,5.491465785034677e-05,0.5491465785034677,0.0,0.155,0,2
matched_filter,6.0,200,100,100,True,200,20000,20052,0,52,1.0,0.9998079639438954,1.0,0.0,0.0,0.00019203605610462553,0.26,0.26,20200,202,0.0012871287128712872,0.0009817464615000094,0.0016873427866252063,3.117064265755184e-05,0.31170642657551834,0.10483782451436938,2.973224864398011,5.000223794985407e-05,-8.218283504026758e-07,-8.218283504026758e-07,-0.008218283504026758,5.5210875815117635e-05,5.5210875815117635e-05,0.5521087581511763,0.0,0.26,0,2
